number,code,emoji,name,name.var
260,U+1F926,🤦,person facepalming,person_facepalming
261,U+1F926 U+200D U+2642 U+FE0F,🤦‍♂️,man facepalming,man_facepalming
262,U+1F926 U+200D U+2640 U+FE0F,🤦‍♀️,woman facepalming,woman_facepalming
263,U+1F937,🤷,person shrugging,person_shrugging
264,U+1F937 U+200D U+2642 U+FE0F,🤷‍♂️,man shrugging,man_shrugging
265,U+1F937 U+200D U+2640 U+FE0F,🤷‍♀️,woman shrugging,woman_shrugging
266,U+1F9D1 U+200D U+2695 U+FE0F,🧑‍⚕️,health worker,health_worker
267,U+1F468 U+200D U+2695 U+FE0F,👨‍⚕️,man health worker,man_health_worker
268,U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,woman health worker,woman_health_worker
269,U+1F9D1 U+200D U+1F393,🧑‍🎓,student,student
270,U+1F468 U+200D U+1F393,👨‍🎓,man student,man_student
271,U+1F469 U+200D U+1F393,👩‍🎓,woman student,woman_student
272,U+1F9D1 U+200D U+1F3EB,🧑‍🏫,teacher,teacher
273,U+1F468 U+200D U+1F3EB,👨‍🏫,man teacher,man_teacher
274,U+1F469 U+200D U+1F3EB,👩‍🏫,woman teacher,woman_teacher
275,U+1F9D1 U+200D U+2696 U+FE0F,🧑‍⚖️,judge,judge
276,U+1F468 U+200D U+2696 U+FE0F,👨‍⚖️,man judge,man_judge
277,U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,woman judge,woman_judge
278,U+1F9D1 U+200D U+1F33E,🧑‍🌾,farmer,farmer
279,U+1F468 U+200D U+1F33E,👨‍🌾,man farmer,man_farmer
280,U+1F469 U+200D U+1F33E,👩‍🌾,woman farmer,woman_farmer
281,U+1F9D1 U+200D U+1F373,🧑‍🍳,cook,cook
282,U+1F468 U+200D U+1F373,👨‍🍳,man cook,man_cook
283,U+1F469 U+200D U+1F373,👩‍🍳,woman cook,woman_cook
284,U+1F9D1 U+200D U+1F527,🧑‍🔧,mechanic,mechanic
285,U+1F468 U+200D U+1F527,👨‍🔧,man mechanic,man_mechanic
286,U+1F469 U+200D U+1F527,👩‍🔧,woman mechanic,woman_mechanic
287,U+1F9D1 U+200D U+1F3ED,🧑‍🏭,factory worker,factory_worker
288,U+1F468 U+200D U+1F3ED,👨‍🏭,man factory worker,man_factory_worker
289,U+1F469 U+200D U+1F3ED,👩‍🏭,woman factory worker,woman_factory_worker
290,U+1F9D1 U+200D U+1F4BC,🧑‍💼,office worker,office_worker
291,U+1F468 U+200D U+1F4BC,👨‍💼,man office worker,man_office_worker
292,U+1F469 U+200D U+1F4BC,👩‍💼,woman office worker,woman_office_worker
293,U+1F9D1 U+200D U+1F52C,🧑‍🔬,scientist,scientist
294,U+1F468 U+200D U+1F52C,👨‍🔬,man scientist,man_scientist
295,U+1F469 U+200D U+1F52C,👩‍🔬,woman scientist,woman_scientist
296,U+1F9D1 U+200D U+1F4BB,🧑‍💻,technologist,technologist
297,U+1F468 U+200D U+1F4BB,👨‍💻,man technologist,man_technologist
298,U+1F469 U+200D U+1F4BB,👩‍💻,woman technologist,woman_technologist
299,U+1F9D1 U+200D U+1F3A4,🧑‍🎤,singer,singer
300,U+1F468 U+200D U+1F3A4,👨‍🎤,man singer,man_singer
301,U+1F469 U+200D U+1F3A4,👩‍🎤,woman singer,woman_singer
302,U+1F9D1 U+200D U+1F3A8,🧑‍🎨,artist,artist
303,U+1F468 U+200D U+1F3A8,👨‍🎨,man artist,man_artist
304,U+1F469 U+200D U+1F3A8,👩‍🎨,woman artist,woman_artist
305,U+1F9D1 U+200D U+2708 U+FE0F,🧑‍✈️,pilot,pilot
306,U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,man pilot,man_pilot
307,U+1F469 U+200D U+2708 U+FE0F,👩‍✈️,woman pilot,woman_pilot
308,U+1F9D1 U+200D U+1F680,🧑‍🚀,astronaut,astronaut
309,U+1F468 U+200D U+1F680,👨‍🚀,man astronaut,man_astronaut
310,U+1F469 U+200D U+1F680,👩‍🚀,woman astronaut,woman_astronaut
311,U+1F9D1 U+200D U+1F692,🧑‍🚒,firefighter,firefighter
312,U+1F468 U+200D U+1F692,👨‍🚒,man firefighter,man_firefighter
313,U+1F469 U+200D U+1F692,👩‍🚒,woman firefighter,woman_firefighter
314,U+1F46E,👮,police officer,police_officer
315,U+1F46E U+200D U+2642 U+FE0F,👮‍♂️,man police officer,man_police_officer
316,U+1F46E U+200D U+2640 U+FE0F,👮‍♀️,woman police officer,woman_police_officer
317,U+1F575,🕵,detective,detective
318,U+1F575 U+FE0F U+200D U+2642 U+FE0F,🕵️‍♂️,man detective,man_detective
319,U+1F575 U+FE0F U+200D U+2640 U+FE0F,🕵️‍♀️,woman detective,woman_detective
320,U+1F482,💂,guard,guard
321,U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,man guard,man_guard
322,U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,woman guard,woman_guard
323,U+1F977,🥷,ninja,ninja
324,U+1F477,👷,construction worker,construction_worker
325,U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,man construction worker,man_construction_worker
326,U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,woman construction worker,woman_construction_worker
327,U+1F934,🤴,prince,prince
328,U+1F478,👸,princess,princess
329,U+1F473,👳,person wearing turban,person_wearing_turban
330,U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,man wearing turban,man_wearing_turban
331,U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,woman wearing turban,woman_wearing_turban
332,U+1F472,👲,person with skullcap,person_with_skullcap
333,U+1F9D5,🧕,woman with headscarf,woman_with_headscarf
334,U+1F935,🤵,person in tuxedo,person_in_tuxedo
335,U+1F935 U+200D U+2642 U+FE0F,🤵‍♂️,man in tuxedo,man_in_tuxedo
336,U+1F935 U+200D U+2640 U+FE0F,🤵‍♀️,woman in tuxedo,woman_in_tuxedo
337,U+1F470,👰,person with veil,person_with_veil
338,U+1F470 U+200D U+2642 U+FE0F,👰‍♂️,man with veil,man_with_veil
339,U+1F470 U+200D U+2640 U+FE0F,👰‍♀️,woman with veil,woman_with_veil
340,U+1F930,🤰,pregnant woman,pregnant_woman
341,U+1F931,🤱,breast-feeding,breast_feeding
342,U+1F469 U+200D U+1F37C,👩‍🍼,woman feeding baby,woman_feeding_baby
343,U+1F468 U+200D U+1F37C,👨‍🍼,man feeding baby,man_feeding_baby
344,U+1F9D1 U+200D U+1F37C,🧑‍🍼,person feeding baby,person_feeding_baby
345,U+1F47C,👼,baby angel,baby_angel
346,U+1F385,🎅,Santa Claus,Santa_Claus
347,U+1F936,🤶,Mrs: Claus,Mrs_Claus
348,U+1F9D1 U+200D U+1F384,🧑‍🎄,mx claus,mx_claus
349,U+1F9B8,🦸,superhero,superhero
350,U+1F9B8 U+200D U+2642 U+FE0F,🦸‍♂️,man superhero,man_superhero
351,U+1F9B8 U+200D U+2640 U+FE0F,🦸‍♀️,woman superhero,woman_superhero
352,U+1F9B9,🦹,supervillain,supervillain
353,U+1F9B9 U+200D U+2642 U+FE0F,🦹‍♂️,man supervillain,man_supervillain
354,U+1F9B9 U+200D U+2640 U+FE0F,🦹‍♀️,woman supervillain,woman_supervillain
355,U+1F9D9,🧙,mage,mage
356,U+1F9D9 U+200D U+2642 U+FE0F,🧙‍♂️,man mage,man_mage
357,U+1F9D9 U+200D U+2640 U+FE0F,🧙‍♀️,woman mage,woman_mage
358,U+1F9DA,🧚,fairy,fairy
359,U+1F9DA U+200D U+2642 U+FE0F,🧚‍♂️,man fairy,man_fairy
360,U+1F9DA U+200D U+2640 U+FE0F,🧚‍♀️,woman fairy,woman_fairy
361,U+1F9DB,🧛,vampire,vampire
362,U+1F9DB U+200D U+2642 U+FE0F,🧛‍♂️,man vampire,man_vampire
363,U+1F9DB U+200D U+2640 U+FE0F,🧛‍♀️,woman vampire,woman_vampire
364,U+1F9DC,🧜,merperson,merperson
365,U+1F9DC U+200D U+2642 U+FE0F,🧜‍♂️,merman,merman
366,U+1F9DC U+200D U+2640 U+FE0F,🧜‍♀️,mermaid,mermaid
367,U+1F9DD,🧝,elf,elf
368,U+1F9DD U+200D U+2642 U+FE0F,🧝‍♂️,man elf,man_elf
369,U+1F9DD U+200D U+2640 U+FE0F,🧝‍♀️,woman elf,woman_elf
370,U+1F9DE,🧞,genie,genie
371,U+1F9DE U+200D U+2642 U+FE0F,🧞‍♂️,man genie,man_genie
372,U+1F9DE U+200D U+2640 U+FE0F,🧞‍♀️,woman genie,woman_genie
373,U+1F9DF,🧟,zombie,zombie
374,U+1F9DF U+200D U+2642 U+FE0F,🧟‍♂️,man zombie,man_zombie
375,U+1F9DF U+200D U+2640 U+FE0F,🧟‍♀️,woman zombie,woman_zombie
376,U+1F486,💆,person getting massage,person_getting_massage
377,U+1F486 U+200D U+2642 U+FE0F,💆‍♂️,man getting massage,man_getting_massage
378,U+1F486 U+200D U+2640 U+FE0F,💆‍♀️,woman getting massage,woman_getting_massage
379,U+1F487,💇,person getting haircut,person_getting_haircut
380,U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,man getting haircut,man_getting_haircut
381,U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,woman getting haircut,woman_getting_haircut
382,U+1F6B6,🚶,person walking,person_walking
383,U+1F6B6 U+200D U+2642 U+FE0F,🚶‍♂️,man walking,man_walking
384,U+1F6B6 U+200D U+2640 U+FE0F,🚶‍♀️,woman walking,woman_walking
385,U+1F9CD,🧍,person standing,person_standing
386,U+1F9CD U+200D U+2642 U+FE0F,🧍‍♂️,man standing,man_standing
387,U+1F9CD U+200D U+2640 U+FE0F,🧍‍♀️,woman standing,woman_standing
388,U+1F9CE,🧎,person kneeling,person_kneeling
389,U+1F9CE U+200D U+2642 U+FE0F,🧎‍♂️,man kneeling,man_kneeling
390,U+1F9CE U+200D U+2640 U+FE0F,🧎‍♀️,woman kneeling,woman_kneeling
391,U+1F9D1 U+200D U+1F9AF,🧑‍🦯,person with white cane,person_with_white_cane
392,U+1F468 U+200D U+1F9AF,👨‍🦯,man with white cane,man_with_white_cane
393,U+1F469 U+200D U+1F9AF,👩‍🦯,woman with white cane,woman_with_white_cane
394,U+1F9D1 U+200D U+1F9BC,🧑‍🦼,person in motorized wheelchair,person_in_motorized_wheelchair
395,U+1F468 U+200D U+1F9BC,👨‍🦼,man in motorized wheelchair,man_in_motorized_wheelchair
396,U+1F469 U+200D U+1F9BC,👩‍🦼,woman in motorized wheelchair,woman_in_motorized_wheelchair
397,U+1F9D1 U+200D U+1F9BD,🧑‍🦽,person in manual wheelchair,person_in_manual_wheelchair
398,U+1F468 U+200D U+1F9BD,👨‍🦽,man in manual wheelchair,man_in_manual_wheelchair
399,U+1F469 U+200D U+1F9BD,👩‍🦽,woman in manual wheelchair,woman_in_manual_wheelchair
400,U+1F3C3,🏃,person running,person_running
401,U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,man running,man_running
402,U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,woman running,woman_running
403,U+1F483,💃,woman dancing,woman_dancing
404,U+1F57A,🕺,man dancing,man_dancing
405,U+1F574,🕴,person in suit levitating,person_in_suit_levitating
406,U+1F46F,👯,people with bunny ears,people_with_bunny_ears
407,U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,men with bunny ears,men_with_bunny_ears
408,U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,women with bunny ears,women_with_bunny_ears
409,U+1F9D6,🧖,person in steamy room,person_in_steamy_room
410,U+1F9D6 U+200D U+2642 U+FE0F,🧖‍♂️,man in steamy room,man_in_steamy_room
411,U+1F9D6 U+200D U+2640 U+FE0F,🧖‍♀️,woman in steamy room,woman_in_steamy_room
412,U+1F9D7,🧗,person climbing,person_climbing
413,U+1F9D7 U+200D U+2642 U+FE0F,🧗‍♂️,man climbing,man_climbing
414,U+1F9D7 U+200D U+2640 U+FE0F,🧗‍♀️,woman climbing,woman_climbing
415,U+1F93A,🤺,person fencing,person_fencing
416,U+1F3C7,🏇,horse racing,horse_racing
417,U+26F7,⛷,skier,skier
418,U+1F3C2,🏂,snowboarder,snowboarder
419,U+1F3CC,🏌,person golfing,person_golfing
420,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,man golfing,man_golfing
421,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,woman golfing,woman_golfing
422,U+1F3C4,🏄,person surfing,person_surfing
423,U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,man surfing,man_surfing
424,U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,woman surfing,woman_surfing
425,U+1F6A3,🚣,person rowing boat,person_rowing_boat
426,U+1F6A3 U+200D U+2642 U+FE0F,🚣‍♂️,man rowing boat,man_rowing_boat
427,U+1F6A3 U+200D U+2640 U+FE0F,🚣‍♀️,woman rowing boat,woman_rowing_boat
428,U+1F3CA,🏊,person swimming,person_swimming
429,U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,man swimming,man_swimming
430,U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,woman swimming,woman_swimming
431,U+26F9,⛹,person bouncing ball,person_bouncing_ball
432,U+26F9 U+FE0F U+200D U+2642 U+FE0F,⛹️‍♂️,man bouncing ball,man_bouncing_ball
433,U+26F9 U+FE0F U+200D U+2640 U+FE0F,⛹️‍♀️,woman bouncing ball,woman_bouncing_ball
434,U+1F3CB,🏋,person lifting weights,person_lifting_weights
